Enplanements,name,latitude,longitude,elevation_ft,local_code
307242,Juan Casiano Airport,2.57013,-77.8986,164,GPI
303471,Rapid City Regional Airport,44.04529953,-103.0569992,3204,RAP
302236,Valley International Airport,26.22850037,-97.65440369,36,HRL
300598,Augusta Regional At Bush Field,33.3699,-81.9645,144,AGS
297544,Mobile Regional Airport,30.6912,-88.242798,219,MOB
294921,Rafael Hernández International Airport,18.4949,-67.129402,237,BQN
291136,Shreveport Regional Airport,32.446602,-93.8256,258,SHV
289278,Grand Canyon National Park Airport,35.9524,-112.147003,6609,GCN
285448,Aspen-Pitkin Co/Sardy Field,39.22320175,-106.8690033,7820,ASE
285198,Bismarck Municipal Airport,46.77270126,-100.7460022,1661,BIS
258628,Wilkes Barre Scranton International Airport,41.33850098,-75.7233963,962,AVP
247324,Cherry Capital Airport,44.74140167,-85.5821991,624,TVC
235570,San Luis County Regional Airport,35.23680115,-120.6419983,212,SBP
234998,Fayetteville Regional Airport - Grannis Field,34.991199,-78.880302,189,FAY
234939,Melbourne Orlando International Airport,28.1028,-80.645302,33,MLB
233955,Gainesville Regional Airport,29.69009972,-82.27179718,152,GNV
228850,Evansville Regional Airport,38.03699875,-87.53240204,418,EVV
223529,Lafayette Regional Airport,30.205299,-91.987602,42,LFT
221978,Grand Junction Regional Airport,39.126663,-108.529387,4858,GJT
217480,Charles M. Schulz Sonoma County Airport,38.50899887,-122.8130035,128,STS
216873,Yeager Airport,38.3731,-81.593201,981,CRW
212812,Henry E Rohlsen Airport,17.70190048,-64.79859924,74,STX
205690,Beluga Airport,61.17219925,-151.0440063,130,BLG
200086,Tri-Cities Regional TN/VA Airport,36.475201,-82.407401,1519,TRI
195573,Newport News Williamsburg International Airport,37.131901,-76.492996,42,PHF
189225,Durango La Plata County Airport,37.1515007,-107.7539978,6685,DRO
186806,Monterey Peninsula Airport,36.5870018,-121.8430023,257,MRY
184018,Capital City Airport,42.77870178,-84.58740234,861,LAN
182509,Rochester International Airport,43.908298,-92.5,1317,RST
178057,Central Illinois Regional Airport at Bloomington-Normal,40.4771,-88.915901,871,BMI
176434,Great Falls International Airport,47.48199844,-111.3710022,3680,GTF
173863,Eagle County Regional Airport,39.64260101,-106.9179993,6548,EGE
170544,Montgomery Regional (Dannelly Field) Airport,32.300598,-86.393997,221,MGM
161019,Idaho Falls Regional Airport,43.514599,-112.070999,4744,IDA
160110,Bethel Airport,60.77980042,-161.8379974,126,BET
154475,Rickenbacker International Airport,39.813801,-82.927803,744,LCK
154328,Killeen-Fort Hood Regional Airport / Robert Gray Army Air Field,31.0672,-97.828903,1015,GRK
152845,Kalamazoo Battle Creek International Airport,42.23490143,-85.55210114,874,AZO
152448,Albert J Ellis Airport,34.829201,-77.612099,94,OAJ
152278,Scott AFB/Midamerica Airport,38.5452,-89.835197,459,BLV
151410,Arnold Palmer Regional Airport,40.275902,-79.4048,1199,LBE
150214,Lincoln Airport,40.85100174,-96.75920105,1219,LNK
149865,Minot International Airport,48.25939941,-101.2799988,1716,MOT
143173,Alexandria International Airport,31.3274,-92.549797,89,AEX
141075,Elmira Corning Regional Airport,42.15990067,-76.89160156,954,ELM
136806,Duluth International Airport,46.842098,-92.193604,1428,DLH
135389,Ketchikan International Airport,55.35559845,-131.7140045,89,KTN
133924,Montrose Regional Airport,38.50979996,-107.8939972,5759,MTJ
131294,Laughlin Bullhead International Airport,35.157398,-114.559998,701,IFP
127627,MBS International Airport,43.532902,-84.079597,668,MBS
126610,Nantucket Memorial Airport,41.25310135,-70.06020355,47,ACK
124632,Central Wisconsin Airport,44.77759933,-89.66680145,1277,CWA
